PORTO	Jan.	Fev.	Mar.	Abr.	Mai.	Jun.	Jul.	Ago.	Set.	Out.	Nov.	Dez.	TOTAL
Paranaguá	94.0	382.7	462.8	195.9	149.6	267.8	144.7	5.3	17.3	48.8	14.7	5.0	1788.5
Tiplam	120.9	401.2	568.5	425.9	271.0	301.9	273.0	219.4	282.0	236.8	191.0	-	3291.7
Tegram	132.6	962.7	934.3	1149.1	1104.7	839.7	374.6	352.0	281.9	188.4	35.4	-	6355.4
TPSL	132.6	962.7	934.3	1149.1	1104.7	839.7	374.6	352.0	281.9	188.4	35.4	-	6355.4
Rio Grande	56.3	21.7	24.4	22.8	5.5	37.7	65.0	72.5	65.2	89.5	24.2	6.9	491.7
Portos Santos	901.1	2364.4	2531.2	2260.8	2300.3	1489.2	346.3	309.2	175.8	21.6	-	-	12699.9
São Francisco	139.6	183.8	370.5	139.4	36.6	221.2	149.6	3.5	8.1	29.8	0.0	1.1	1283.2
Tubarão	-	181.7	383.3	502.7	467.5	445.6	479.6	400.0	328.0	231.1	86.6	70.2	3576.3
TOTAL	1444.5	4498.3	5275.0	4696.6	4335.2	3603.2	1832.7	1361.7	1158.1	846.0	351.9	83.3	29486.6
