Porto	DWT (kt)	Tempo operação (h)	Tempo inoperante (h)	Tempo atracação (h)	Produtividade (t/h)
Paranaguá	59.5	60.4	6.8	67.8	1050
Tiplam	67.1	32	9.4	41.4	2100
Tegram	63.5	88.8	9	97.8	823
TPSL	67	57.1	7.4	64.5	1201
Rio Grande	58.4	74.1	13.3	87.4	913
Portos Santos	65.1	65.8	10.2	75.8	1080
São Francisco	43.9	56.3	1	57.3	780
Tubarão	57.8	45.1	4.7	49.8	1359
